,X.1,OBJECTID,Field1,X,Lat,Long,ch4,Date,day,month,year
9,9,9,1941,1941,-19.02840233,-55.43236923,1787.437657,4/24/2009,24,4,2009
14,14,14,1946,1946,-20.91970825,-52.75981522,1767.357124,4/24/2009,24,4,2009
15,15,15,1947,1947,-22.27300835,-53.07329941,1759.968239,4/24/2009,24,4,2009
35,35,35,3010,3010,-18.90268135,-57.34810257,1789.462024,4/25/2009,25,4,2009
39,39,39,3016,3016,-20.22064209,-57.64354706,1767.557974,4/25/2009,25,4,2009
40,40,40,3017,3017,-21.61119461,-57.90826416,1771.424948,4/25/2009,25,4,2009
52,52,52,5244,5244,-17.67550659,-55.10124969,1774.61392,4/27/2009,27,4,2009
57,57,57,5249,5249,-19.56407166,-52.4501915,1756.697327,4/27/2009,27,4,2009
58,58,58,5250,5250,-19.27021408,-53.94797134,1781.338227,4/27/2009,27,4,2009
59,59,59,5251,5251,-19.00304985,-55.45138931,1765.913331,4/27/2009,27,4,2009
60,60,60,5252,5252,-20.37584686,-55.7686882,1757.801424,4/27/2009,27,4,2009
61,61,61,5253,5253,-20.62914848,-54.26999664,1764.781924,4/27/2009,27,4,2009
62,62,62,5254,5254,-20.91819572,-52.75973511,1769.791964,4/27/2009,27,4,2009
65,65,65,5257,5257,-22.27102661,-53.07320404,1769.758122,4/27/2009,27,4,2009
66,66,66,5258,5258,-21.97240829,-54.59894562,1752.179784,4/27/2009,27,4,2009
67,67,67,5259,5259,-21.7002697,-56.13008499,1746.367803,4/27/2009,27,4,2009
69,69,69,5261,5261,-23.3305397,-54.93153381,1738.925361,4/27/2009,27,4,2009
86,86,86,6279,6279,-18.86412239,-57.36368942,1772.805039,4/28/2009,28,4,2009
87,87,87,6280,6280,-20.254673,-57.62699127,1772.682878,4/28/2009,28,4,2009
91,91,91,6285,6285,-21.57255554,-57.92398071,1750.969135,4/28/2009,28,4,2009
113,113,113,8102,8102,-17.65121651,-55.1190834,1760.057342,4/30/2009,30,4,2009
114,114,114,8103,8103,-19.02340508,-55.43035889,1757.847656,4/30/2009,30,4,2009
115,115,115,8104,8104,-19.27571297,-53.94543076,1754.874299,4/30/2009,30,4,2009
116,116,116,8105,8105,-19.5625,-52.44865799,1771.449769,4/30/2009,30,4,2009
118,118,118,8107,8107,-20.91593742,-52.75825119,1765.475588,4/30/2009,30,4,2009
119,119,119,8108,8108,-20.61997032,-54.26947403,1756.558017,4/30/2009,30,4,2009
120,120,120,8109,8109,-20.34910393,-55.78580856,1762.133854,4/30/2009,30,4,2009
121,121,121,8110,8110,-21.72136307,-56.10903549,1757.146336,4/30/2009,30,4,2009
122,122,122,8111,8111,-21.97181892,-54.59483337,1751.88831,4/30/2009,30,4,2009
123,123,123,8112,8112,-22.26823807,-53.07139206,1758.141881,4/30/2009,30,4,2009
125,125,125,8114,8114,-23.32111359,-54.93083572,1750.52793,4/30/2009,30,4,2009
148,148,148,9096,9096,-18.88253021,-57.36757278,1766.037677,5/1/2009,1,5,2009
153,153,153,9103,9103,-20.21853065,-57.64928055,1759.836783,5/1/2009,1,5,2009
174,174,174,9989,9989,-19.56155777,-52.45420074,1740.888338,5/3/2009,3,5,2009
176,176,176,9991,9991,-21.70656204,-56.13014603,1753.453097,5/3/2009,3,5,2009
177,177,177,9992,9992,-23.31977463,-54.93656158,1745.754276,5/3/2009,3,5,2009
210,210,210,12012,12012,-19.21586227,-53.93842316,1777.132986,5/18/2009,18,5,2009
211,211,211,12013,12013,-18.94834518,-55.44149017,1764.372275,5/18/2009,18,5,2009
212,212,212,12014,12014,-20.30727768,-55.77264786,1765.788688,5/18/2009,18,5,2009
213,213,213,12015,12015,-20.55865669,-54.25643921,1755.080955,5/18/2009,18,5,2009
214,214,214,12016,12016,-20.86325836,-52.75087738,1756.280449,5/18/2009,18,5,2009
217,217,217,12019,12019,-22.21752357,-53.06459808,1759.341456,5/18/2009,18,5,2009
218,218,218,12020,12020,-21.91918755,-54.5893631,1765.437312,5/18/2009,18,5,2009
219,219,219,12021,12021,-21.64569092,-56.11970139,1755.137782,5/18/2009,18,5,2009
220,220,220,12022,12022,-23.2674408,-54.91917419,1747.733272,5/18/2009,18,5,2009
284,284,284,18619,18619,-19.51312256,-52.44279099,1753.799103,6/2/2009,2,6,2009
285,285,285,18620,18620,-19.218647,-53.93883514,1744.401795,6/2/2009,2,6,2009
286,286,286,18621,18621,-18.95069695,-55.44104004,1748.729463,6/2/2009,2,6,2009
287,287,287,18622,18622,-20.30254555,-55.77037048,1754.149171,6/2/2009,2,6,2009
288,288,288,18623,18623,-20.57673264,-54.26055527,1739.585238,6/2/2009,2,6,2009
289,289,289,18624,18624,-20.86478996,-52.75185013,1726.973941,6/2/2009,2,6,2009
294,294,294,18629,18629,-23.27913857,-54.92212296,1734.758886,6/2/2009,2,6,2009
365,366,366,21113,21113,-17.69155693,-55.11315155,1771.82591,6/5/2009,5,6,2009
368,369,369,21116,21116,-19.22889709,-53.95182037,1766.357253,6/5/2009,5,6,2009
369,370,370,21117,21117,-18.96143913,-55.45594025,1758.180038,6/5/2009,5,6,2009
382,383,383,21757,21757,-18.82573509,-57.377388,1768.946189,6/6/2009,6,6,2009
399,400,400,23966,23966,-19.23714447,-53.9510498,1767.876893,6/8/2009,8,6,2009
400,401,401,23967,23967,-19.52426529,-52.455513,1781.75168,6/8/2009,8,6,2009
401,402,402,23968,23968,-20.58240509,-54.27540588,1773.014406,6/8/2009,8,6,2009
402,403,403,23969,23969,-20.31192398,-55.79266739,1779.864657,6/8/2009,8,6,2009
403,404,404,23970,23970,-21.74131584,-56.12376022,1763.95856,6/8/2009,8,6,2009
433,434,434,28523,28523,-21.63650322,-57.92664719,1750.856953,6/12/2009,12,6,2009
462,463,463,30867,30867,-19.77370453,-52.50979996,1759.280216,6/14/2009,14,6,2009
488,489,489,33965,33965,-19.05711555,-55.44612885,1761.716449,6/17/2009,17,6,2009
489,490,490,33966,33966,-19.24184227,-53.95053101,1757.571582,6/17/2009,17,6,2009
490,491,491,33967,33967,-19.53029442,-52.45543289,1757.699909,6/17/2009,17,6,2009
492,493,493,33969,33969,-20.88344383,-52.76498795,1750.560689,6/17/2009,17,6,2009
493,494,494,33970,33970,-20.31903458,-55.79269409,1759.554495,6/17/2009,17,6,2009
494,495,495,33971,33971,-21.75578499,-56.12582779,1768.305502,6/17/2009,17,6,2009
495,496,496,33972,33972,-21.94630241,-54.60235977,1742.60607,6/17/2009,17,6,2009
496,497,497,33973,33973,-22.23698616,-53.07857895,1749.677513,6/17/2009,17,6,2009
502,503,503,33979,33979,-23.29054832,-54.93720245,1751.59347,6/17/2009,17,6,2009
514,515,515,34818,34818,-18.93144798,-57.36699295,1770.86606,6/18/2009,18,6,2009
517,518,518,34823,34823,-20.18693924,-57.65750122,1756.828921,6/18/2009,18,6,2009
518,519,519,34824,34824,-21.64150047,-57.92789459,1752.979709,6/18/2009,18,6,2009
545,546,546,36844,36844,-19.05877876,-55.44709778,1753.506427,6/20/2009,20,6,2009
546,547,547,36845,36845,-19.24451828,-53.95167542,1767.423694,6/20/2009,20,6,2009
547,548,548,36846,36846,-19.5324173,-52.45631027,1770.868794,6/20/2009,20,6,2009
552,553,553,36851,36851,-20.88545418,-52.76596832,1761.488822,6/20/2009,20,6,2009
553,554,554,36852,36852,-20.59074211,-54.27641296,1757.57125,6/20/2009,20,6,2009
554,555,555,36853,36853,-20.32135582,-55.79384995,1749.997551,6/20/2009,20,6,2009
555,556,556,36854,36854,-21.75780296,-56.1268959,1777.027245,6/20/2009,20,6,2009
556,557,557,36855,36855,-21.9480114,-54.60332489,1741.231012,6/20/2009,20,6,2009
557,558,558,36856,36856,-22.24064636,-53.07991028,1750.94613,6/20/2009,20,6,2009
563,564,564,36862,36862,-23.2926693,-54.93842316,1754.883817,6/20/2009,20,6,2009
584,585,585,37976,37976,-20.19011497,-57.65856552,1767.70527,6/21/2009,21,6,2009
607,608,608,40484,40484,-19.53343391,-52.45704269,1771.986013,6/23/2009,23,6,2009
623,624,624,44123,44123,-20.32479477,-55.79428864,1772.191832,6/26/2009,26,6,2009
634,635,635,45289,45289,-18.93736267,-57.36705399,1778.126378,6/27/2009,27,6,2009
665,666,666,47457,47457,-19.06609154,-55.44721603,1756.559836,6/29/2009,29,6,2009
666,667,667,47458,47458,-19.0362072,-53.90002823,1764.972709,6/29/2009,29,6,2009
667,668,668,47459,47459,-19.53853798,-52.45572281,1771.438682,6/29/2009,29,6,2009
672,673,673,47464,47464,-20.89182091,-52.76543045,1755.038081,6/29/2009,29,6,2009
673,674,674,47465,47465,-20.32713509,-55.79372406,1758.405665,6/29/2009,29,6,2009
674,675,675,47466,47466,-21.76404381,-56.12694931,1771.576839,6/29/2009,29,6,2009
675,676,676,47467,47467,-22.24566078,-53.0791626,1762.363735,6/29/2009,29,6,2009
677,678,678,47469,47469,-23.08322525,-54.88471603,1771.420926,6/29/2009,29,6,2009
686,687,687,48355,48355,-18.93988037,-57.36665726,1781.148135,6/30/2009,30,6,2009
691,692,692,48360,48360,-20.19529915,-57.65713501,1784.355931,6/30/2009,30,6,2009
692,693,693,48361,48361,-21.65040016,-57.92769241,1772.988043,6/30/2009,30,6,2009
722,723,723,50213,50213,-19.08128166,-55.44281006,1773.381552,7/2/2009,2,7,2009
723,724,724,50214,50214,-19.04391289,-53.89572906,1763.987418,7/2/2009,2,7,2009
774,775,775,53396,53396,-19.0826416,-55.44480515,1774.565662,7/5/2009,5,7,2009
775,776,776,53397,53397,-19.04766846,-53.89812088,1766.779683,7/5/2009,5,7,2009
776,777,777,53398,53398,-19.54798317,-52.45346451,1768.450612,7/5/2009,5,7,2009
780,781,781,53402,53402,-20.90076828,-52.76300812,1762.242973,7/5/2009,5,7,2009
781,782,782,53403,53403,-20.39100266,-54.22203827,1765.747642,7/5/2009,5,7,2009
782,783,783,53404,53404,-20.33646202,-55.79027939,1780.596184,7/5/2009,5,7,2009
783,784,784,53405,53405,-21.78100777,-56.1246376,1764.17312,7/5/2009,5,7,2009
784,785,785,53406,53406,-21.75107193,-54.54817963,1770.613214,7/5/2009,5,7,2009
785,786,786,53407,53407,-22.2548542,-53.07694626,1778.611292,7/5/2009,5,7,2009
795,796,796,54527,54527,-18.85034943,-57.37279892,1762.887481,7/6/2009,6,7,2009
796,797,797,54528,54528,-20.31359291,-57.6425705,1749.674622,7/6/2009,6,7,2009
799,800,800,54533,54533,-21.5585556,-57.93338013,1753.348909,7/6/2009,6,7,2009
819,820,820,56970,56970,-19.54792213,-52.45373535,1773.243207,7/8/2009,8,7,2009
820,821,821,56971,56971,-19.03972054,-53.90001297,1765.887159,7/8/2009,8,7,2009
821,822,822,56972,56972,-20.43453979,-55.78271484,1760.53575,7/8/2009,8,7,2009
822,823,823,56973,56973,-20.90242004,-52.76345062,1750.316176,7/8/2009,8,7,2009
826,827,827,56977,56977,-22.25649643,-53.07757568,1767.15883,7/8/2009,8,7,2009
840,841,841,59492,59492,-21.687006,-56.13344955,1752.292932,7/11/2009,11,7,2009
842,843,843,59494,59494,-23.10323524,-54.88111496,1749.874293,7/11/2009,11,7,2009
860,861,861,60665,60665,-19.10009003,-57.42087173,1761.585057,7/12/2009,12,7,2009
861,862,862,60666,60666,-20.31723595,-57.64138794,1748.722661,7/12/2009,12,7,2009
868,869,869,60674,60674,-21.56016541,-57.9318428,1745.194558,7/12/2009,12,7,2009
897,898,898,63259,63259,-20.90879822,-52.76094437,1765.167138,7/14/2009,14,7,2009
898,899,899,63260,63260,-21.15041351,-52.81671524,1774.037409,7/14/2009,14,7,2009
902,903,903,63264,63264,-22.25734901,-53.07541656,1769.583065,7/14/2009,14,7,2009
903,904,904,63265,63265,-21.74466324,-54.54862976,1796.841519,7/14/2009,14,7,2009
905,906,906,63267,63267,-23.10374832,-54.88004684,1769.677763,7/14/2009,14,7,2009
937,938,938,66711,66711,-19.04959106,-53.89823914,1780.306808,7/17/2009,17,7,2009
943,944,944,66717,66717,-23.09488869,-54.88245773,1770.259021,7/17/2009,17,7,2009
958,959,959,67673,67673,-18.96266556,-57.36167908,1786.767543,7/18/2009,18,7,2009
961,962,962,67677,67677,-20.20702934,-57.65084457,1770.941465,7/18/2009,18,7,2009
974,975,975,69628,69628,-19.08610725,-55.44758224,1779.676854,7/20/2009,20,7,2009
975,976,976,69629,69629,-19.05056953,-53.89995575,1777.873296,7/20/2009,20,7,2009
977,978,978,69631,69631,-22.25898361,-53.07828903,1774.034125,7/20/2009,20,7,2009
1028,1029,1029,76059,76059,-19.54953766,-52.45300293,1779.639346,7/26/2009,26,7,2009
1029,1030,1030,76060,76060,-19.0405426,-53.90012741,1775.783786,7/26/2009,26,7,2009
1059,1060,1060,79401,79401,-19.0468483,-53.8990593,1772.64275,7/29/2009,29,7,2009
1063,1064,1064,79405,79405,-21.78257179,-56.12741089,1765.947562,7/29/2009,29,7,2009
1064,1065,1065,79406,79406,-23.09208107,-54.88333893,1760.603355,7/29/2009,29,7,2009
1093,1094,1094,80440,80440,-18.96048164,-57.36075974,1776.075447,7/30/2009,30,7,2009
1096,1097,1097,80443,80443,-20.20385742,-57.64980698,1776.193948,7/30/2009,30,7,2009
1141,1142,1142,86238,86238,-17.73020744,-55.11727142,1754.040438,8/4/2009,4,8,2009
1144,1145,1145,86241,86241,-19.54536819,-52.45449448,1752.853031,8/4/2009,4,8,2009
1145,1146,1146,86242,86242,-18.98320198,-55.45703506,1751.729161,8/4/2009,4,8,2009
1146,1147,1147,86243,86243,-20.43026352,-55.78562164,1751.231512,8/4/2009,4,8,2009
1147,1148,1148,86244,86244,-20.3968277,-54.22308731,1749.860205,8/4/2009,4,8,2009
1148,1149,1149,86245,86245,-20.89961052,-52.76434326,1745.852912,8/4/2009,4,8,2009
1153,1154,1154,86250,86250,-22.2515583,-53.07774734,1757.017251,8/4/2009,4,8,2009
1154,1155,1155,86251,86251,-21.73924828,-54.5518074,1739.772165,8/4/2009,4,8,2009
1155,1156,1156,86252,86252,-21.68165398,-56.13652039,1743.247782,8/4/2009,4,8,2009
1157,1158,1158,86254,86254,-23.09916306,-54.88354111,1752.388469,8/4/2009,4,8,2009
1194,1195,1195,87111,87111,-18.84724998,-57.3704567,1752.298798,8/5/2009,5,8,2009
1195,1196,1196,87112,87112,-20.31163597,-57.640625,1763.160035,8/5/2009,5,8,2009
1202,1203,1203,87121,87121,-21.5547924,-57.93120193,1746.586156,8/5/2009,5,8,2009
1232,1233,1233,88911,88911,-17.72791672,-55.1163063,1759.956106,8/7/2009,7,8,2009
1239,1240,1240,88918,88918,-19.03323364,-53.90058136,1754.039331,8/7/2009,7,8,2009
1240,1241,1241,88919,88919,-18.98132515,-55.45603561,1753.890559,8/7/2009,7,8,2009
1241,1242,1242,88920,88920,-20.42761993,-55.78449249,1769.200404,8/7/2009,7,8,2009
1242,1243,1243,88921,88921,-20.89760971,-52.76332474,1739.059444,8/7/2009,7,8,2009
1247,1248,1248,88926,88926,-22.24979401,-53.07674408,1764.179228,8/7/2009,7,8,2009
1248,1249,1249,88927,88927,-21.73670578,-54.55075836,1751.72235,8/7/2009,7,8,2009
1249,1250,1250,88928,88928,-21.6799984,-56.13571167,1764.193084,8/7/2009,7,8,2009
1250,1251,1251,88929,88929,-23.09665108,-54.8824234,1758.337891,8/7/2009,7,8,2009
1260,1261,1261,89935,89935,-18.84572792,-57.36917114,1780.972356,8/8/2009,8,8,2009
1261,1262,1262,89936,89936,-20.30984879,-57.63913345,1786.092261,8/8/2009,8,8,2009
1277,1278,1278,92481,92481,-19.07672691,-55.44563293,1759.540267,8/10/2009,10,8,2009
1278,1279,1279,92482,92482,-19.03900146,-53.89683914,1762.313247,8/10/2009,10,8,2009
1279,1280,1280,92483,92483,-19.54125977,-52.45121002,1759.39592,8/10/2009,10,8,2009
1282,1283,1283,92486,92486,-20.32881927,-55.79067993,1751.469866,8/10/2009,10,8,2009
1283,1284,1284,92487,92487,-21.77421379,-56.12545013,1744.143359,8/10/2009,10,8,2009
1284,1285,1285,92488,92488,-21.742733,-54.54706955,1750.671222,8/10/2009,10,8,2009
1285,1286,1286,92489,92489,-23.08490562,-54.88137436,1738.634632,8/10/2009,10,8,2009
1304,1305,1305,93646,93646,-18.95295525,-57.3576088,1746.920744,8/11/2009,11,8,2009
1311,1312,1312,93655,93655,-20.1955471,-57.646595,1744.483218,8/11/2009,11,8,2009
1312,1313,1313,93656,93656,-21.66270828,-57.91863632,1734.019137,8/11/2009,11,8,2009
1327,1328,1328,95964,95964,-17.72459412,-55.11449814,1757.454418,8/13/2009,13,8,2009
1332,1333,1333,95969,95969,-19.53852081,-52.45108032,1758.805525,8/13/2009,13,8,2009
1333,1334,1334,95970,95970,-18.97729301,-55.4540062,1759.725844,8/13/2009,13,8,2009
1334,1335,1335,95971,95971,-20.42396355,-55.7824707,1757.321456,8/13/2009,13,8,2009
1335,1336,1336,95972,95972,-20.39138031,-54.22003555,1753.010574,8/13/2009,13,8,2009
1336,1337,1337,95973,95973,-20.89273262,-52.76088715,1758.762803,8/13/2009,13,8,2009
1341,1342,1342,95978,95978,-22.24511909,-53.07442856,1752.035785,8/13/2009,13,8,2009
1342,1343,1343,95979,95979,-21.73217583,-54.54837418,1757.484424,8/13/2009,13,8,2009
1343,1344,1344,95980,95980,-21.675951,-56.13344955,1769.456013,8/13/2009,13,8,2009
1345,1346,1346,95982,95982,-23.09189224,-54.87998199,1755.239645,8/13/2009,13,8,2009
1364,1365,1365,97146,97146,-18.84025192,-57.36759186,1765.274658,8/14/2009,14,8,2009
1365,1366,1366,97147,97147,-20.30572319,-57.63777542,1756.086457,8/14/2009,14,8,2009
1369,1370,1370,97153,97153,-21.54721642,-57.92806244,1766.178256,8/14/2009,14,8,2009
1442,1443,1443,105559,105559,-22.23804665,-53.07364273,1745.335796,8/22/2009,22,8,2009
1443,1444,1444,105560,105560,-21.72559357,-54.54738998,1768.275037,8/22/2009,22,8,2009
1444,1445,1445,105561,105561,-23.08477974,-54.87896729,1749.795575,8/22/2009,22,8,2009
1463,1464,1464,106732,106732,-18.835392,-57.36665344,1749.97036,8/23/2009,23,8,2009
1468,1469,1469,108516,108516,-21.76388168,-56.12182236,1752.795832,8/25/2009,25,8,2009
1469,1470,1470,108517,108517,-22.23601532,-53.07136917,1758.455898,8/25/2009,25,8,2009
1471,1472,1472,108519,108519,-23.07437134,-54.87802505,1750.755398,8/25/2009,25,8,2009
1515,1516,1516,112195,112195,-19.06353378,-55.44226456,1740.066701,8/28/2009,28,8,2009
1517,1518,1518,112197,112197,-20.88170624,-52.75857925,1744.5465,8/28/2009,28,8,2009
1518,1519,1519,112198,112198,-20.36995697,-54.21802139,1744.48989,8/28/2009,28,8,2009
1519,1520,1520,112199,112199,-20.31617165,-55.78736115,1740.173759,8/28/2009,28,8,2009
1520,1521,1521,112200,112200,-21.76137733,-56.12191772,1739.762291,8/28/2009,28,8,2009
1521,1522,1522,112201,112201,-21.73166275,-54.54457092,1744.240105,8/28/2009,28,8,2009
1522,1523,1523,112202,112202,-22.23364258,-53.07173538,1744.599878,8/28/2009,28,8,2009
1526,1527,1527,112206,112206,-23.0717659,-54.87824249,1735.563259,8/28/2009,28,8,2009
1553,1554,1554,113092,113092,-18.8301506,-57.36629868,1729.175913,8/29/2009,29,8,2009
1554,1555,1555,113093,113093,-20.29422951,-57.63633347,1740.177287,8/29/2009,29,8,2009
1561,1562,1562,113102,113102,-21.53682518,-57.92696381,1744.577407,8/29/2009,29,8,2009
1585,1586,1586,115065,115065,-17.71228218,-55.11166382,1732.531277,8/31/2009,31,8,2009
1589,1590,1590,115069,115069,-19.01663971,-53.8962059,1749.879302,8/31/2009,31,8,2009
1590,1591,1591,115070,115070,-20.37606621,-54.21704483,1761.248352,8/31/2009,31,8,2009
1591,1592,1592,115071,115071,-20.87998772,-52.7591095,1748.471161,8/31/2009,31,8,2009
1596,1597,1597,115076,115076,-22.232481,-53.07278442,1746.845096,8/31/2009,31,8,2009
1597,1598,1598,115077,115077,-21.71976471,-54.54608536,1754.567905,8/31/2009,31,8,2009
1598,1599,1599,115078,115078,-21.66313362,-56.13040543,1753.57233,8/31/2009,31,8,2009
1626,1627,1627,116329,116329,-18.93850517,-57.35741425,1762.063923,9/1/2009,1,9,2009
1636,1637,1637,118790,118790,-20.36701393,-54.21834946,1770.283716,9/3/2009,3,9,2009
1637,1638,1638,118791,118791,-22.23076248,-53.07238388,1776.087458,9/3/2009,3,9,2009
1638,1639,1639,118792,118792,-23.06948853,-54.87862396,1779.457118,9/3/2009,3,9,2009
1642,1643,1643,119918,119918,-21.64664841,-57.91836548,1816.327847,9/4/2009,4,9,2009
1647,1648,1648,122667,122667,-20.4115715,-55.77812958,1778.33435,9/6/2009,6,9,2009
1648,1649,1649,122668,122668,-21.66026497,-56.12824249,1749.388092,9/6/2009,6,9,2009
1665,1666,1666,124008,124008,-18.82583427,-57.36585617,1752.832346,9/7/2009,7,9,2009
1666,1667,1667,124009,124009,-20.29088593,-57.63603592,1752.495096,9/7/2009,7,9,2009
1673,1674,1674,124018,124018,-21.53464508,-57.92702866,1752.659254,9/7/2009,7,9,2009
1688,1689,1689,127620,127620,-19.522192,-52.44722748,1766.005301,9/12/2009,12,9,2009
1689,1690,1690,127621,127621,-19.01288986,-53.89332962,1766.525962,9/12/2009,12,9,2009
1690,1691,1691,127622,127622,-18.96142387,-55.44759369,1773.694084,9/12/2009,12,9,2009
1694,1695,1695,127626,127626,-22.22868156,-53.07051468,1774.634516,9/12/2009,12,9,2009
1711,1712,1712,128901,128901,-18.82355881,-57.36611176,1770.015171,9/13/2009,13,9,2009
1729,1730,1730,131870,131870,-20.36515427,-54.21673203,1773.50572,9/15/2009,15,9,2009
1730,1731,1731,131871,131871,-20.31095695,-55.78482819,1780.202162,9/15/2009,15,9,2009
1731,1732,1732,131872,131872,-22.22890282,-53.07154083,1773.368087,9/15/2009,15,9,2009
1736,1737,1737,131877,131877,-23.06705666,-54.87687683,1776.68355,9/15/2009,15,9,2009
1751,1752,1752,133333,133333,-18.93434906,-57.35782242,1769.517023,9/16/2009,16,9,2009
1754,1755,1755,133338,133338,-20.17781639,-57.64713287,1764.650295,9/16/2009,16,9,2009
1755,1756,1756,133339,133339,-21.64428902,-57.91900253,1765.710751,9/16/2009,16,9,2009
1774,1775,1775,136248,136248,-20.87628746,-52.75811386,1777.47367,9/18/2009,18,9,2009
1775,1776,1776,136249,136249,-20.31123352,-55.78467178,1801.791816,9/18/2009,18,9,2009
1777,1778,1778,136251,136251,-23.06684303,-54.87685013,1780.680795,9/18/2009,18,9,2009
1813,1814,1814,144401,144401,-19.52395439,-52.44752884,1765.673856,9/24/2009,24,9,2009
1815,1816,1816,144403,144403,-20.87769508,-52.75737,1748.837004,9/24/2009,24,9,2009
1816,1817,1817,144404,144404,-20.367136,-54.21588135,1761.196044,9/24/2009,24,9,2009
1817,1818,1818,144405,144405,-21.75966072,-56.11859131,1757.434966,9/24/2009,24,9,2009
1818,1819,1819,144406,144406,-21.72571182,-54.54157257,1757.719665,9/24/2009,24,9,2009
1819,1820,1820,144407,144407,-22.23130989,-53.07118988,1746.861176,9/24/2009,24,9,2009
1825,1826,1826,144413,144413,-23.07005882,-54.87625122,1750.447666,9/24/2009,24,9,2009
1848,1849,1849,145974,145974,-18.82709312,-57.36782455,1751.053849,9/25/2009,25,9,2009
1849,1850,1850,145975,145975,-20.29114151,-57.63792038,1764.769945,9/25/2009,25,9,2009
1855,1856,1856,145983,145983,-21.53620911,-57.92910385,1763.322133,9/25/2009,25,9,2009
1880,1881,1881,149127,149127,-21.71983337,-54.54382706,1761.807284,9/27/2009,27,9,2009
1881,1882,1882,149128,149128,-21.66371346,-56.12683487,1772.014102,9/27/2009,27,9,2009
1883,1884,1884,149130,149130,-23.07824898,-54.87526703,1767.266362,9/27/2009,27,9,2009
1889,1890,1890,150497,150497,-18.82905769,-57.36901093,1770.15107,9/28/2009,28,9,2009
1904,1905,1905,153852,153852,-19.06313896,-55.44025421,1772.623581,9/30/2009,30,9,2009
1905,1906,1906,153853,153853,-19.02563286,-53.8935051,1766.333451,9/30/2009,30,9,2009
1906,1907,1907,153854,153854,-19.52692795,-52.44952393,1781.218248,9/30/2009,30,9,2009
1908,1909,1909,153856,153856,-20.88042831,-52.75942993,1766.235156,9/30/2009,30,9,2009
1909,1910,1910,153857,153857,-20.37017822,-54.21770477,1767.426837,9/30/2009,30,9,2009
1919,1920,1920,155488,155488,-20.18528175,-57.65024948,1769.067895,10/1/2009,1,10,2009
1932,1933,1933,159029,159029,-21.72371292,-54.54573441,1763.683167,10/3/2009,3,10,2009
1933,1934,1934,159030,159030,-21.66622353,-56.12874985,1773.888154,10/3/2009,3,10,2009
1935,1936,1936,159032,159032,-23.08208275,-54.87732315,1763.632479,10/3/2009,3,10,2009
1951,1952,1952,160475,160475,-20.29484558,-57.64014816,1782.406535,10/4/2009,4,10,2009
1964,1965,1965,163633,163633,-20.31978035,-55.78499603,1766.627886,10/6/2009,6,10,2009
1974,1975,1975,169677,169677,-19.53324699,-52.45036697,1767.607811,10/9/2009,9,10,2009
1975,1976,1976,169678,169678,-19.02425385,-53.89572525,1757.406182,10/9/2009,9,10,2009
1976,1977,1977,169679,169679,-20.41839218,-55.77760696,1764.12008,10/9/2009,9,10,2009
1977,1978,1978,169680,169680,-20.38507271,-54.21718216,1750.244134,10/9/2009,9,10,2009
1978,1979,1979,169681,169681,-20.8870182,-52.76018143,1753.279322,10/9/2009,9,10,2009
1983,1984,1984,169686,169686,-22.23974419,-53.07388687,1752.716489,10/9/2009,9,10,2009
1984,1985,1985,169687,169687,-21.72759819,-54.54595184,1751.625333,10/9/2009,9,10,2009
1986,1987,1987,169689,169689,-23.08653069,-54.87742615,1748.195586,10/9/2009,9,10,2009
1999,2000,2000,171592,171592,-18.83570862,-57.37090683,1758.566351,10/10/2009,10,10,2009
2000,2001,2001,171593,171593,-20.29916191,-57.64095688,1780.374365,10/10/2009,10,10,2009
2019,2020,2020,177071,177071,-18.94669914,-57.36200333,1772.166459,10/13/2009,13,10,2009
2023,2024,2024,177076,177076,-20.19234657,-57.65151978,1753.98299,10/13/2009,13,10,2009
2024,2025,2025,177077,177077,-21.65685463,-57.92316055,1745.340687,10/13/2009,13,10,2009
2043,2044,2044,180614,180614,-19.03466415,-53.8951416,1764.083708,10/15/2009,15,10,2009
2044,2045,2045,180615,180615,-20.37971497,-54.2196846,1774.044677,10/15/2009,15,10,2009
2058,2059,2059,185151,185151,-20.42499733,-55.77970123,1781.849067,10/18/2009,18,10,2009
2059,2060,2060,185152,185152,-21.67642975,-56.13073349,1779.804908,10/18/2009,18,10,2009
2093,2094,2094,201916,201916,-19.04398346,-53.89705276,1779.587825,10/27/2009,27,10,2009
2094,2095,2095,201917,201917,-19.54519272,-52.45257187,1785.921962,10/27/2009,27,10,2009
2104,2105,2105,203639,203639,-18.9564476,-57.36233521,1788.581941,10/28/2009,28,10,2009
2110,2111,2111,206606,206606,-19.08208847,-55.44551849,1752.569676,10/30/2009,30,10,2009
2116,2117,2117,206612,206612,-23.09040833,-54.88300705,1745.311073,10/30/2009,30,10,2009
2159,2160,2160,212776,212776,-21.92181969,-52.99632645,1760.546173,11/2/2009,2,11,2009
2160,2161,2161,212777,212777,-21.91599655,-52.99640656,1761.657776,11/2/2009,2,11,2009
2161,2162,2162,212778,212778,-21.91153908,-52.99700546,1768.46042,11/2/2009,2,11,2009
2164,2165,2165,212781,212781,-22.71548271,-53.18489075,1769.621402,11/2/2009,2,11,2009
2196,2197,2197,225102,225102,-19.04035568,-53.8887825,1800.315266,11/8/2009,8,11,2009
2206,2207,2207,230336,230336,-21.68102455,-56.12332153,1777.576441,11/11/2009,11,11,2009
